timestamp,mode,hostname,node_cpu_seconds_total,node_filesystem_avail_bytes,node_filesystem_size_bytes,node_disk_read_bytes_total,node_disk_written_bytes_total,node_network_receive_bytes_total,node_network_receive_drop_total,node_network_receive_errs_total,node_network_transmit_packets_total,node_vmstat_pgmajfault,node_memory_MemAvailable_bytes,node_memory_MemTotal_bytes,node_forks_total,node_intr_total,node_load1,node_load5,node_load15,node_sockstat_TCP_alloc,node_sockstat_TCP_inuse,node_sockstat_TCP_mem,node_sockstat_TCP_mem_bytes,node_sockstat_UDP_inuse,node_sockstat_UDP_mem,node_sockstat_sockets_used,node_netstat_Tcp_CurrEstab,node_filefd_allocated,mmap,munmap,accept,brk,bind,connect,chdir,clone,close,kill,listen,mkdir,open,poll,read,rename,recvfrom,select,socket,sendto,write
2024-11-15 15:20:09,normal_traffic,unknown,316352.06000000006,205938173952,230966169600,1496346112,3238413312,287297457106,0,0,875969349,6403,14089060352,16440193024,52468,340761565,2.37,2.48,2.33,11,6,1649,6754304,5,512,836,5,8672,1287,105,0,50,771,16784,4,252,233635,60,0,10,0,46251586,0,12,8975731,0,16759,8943486,0
2024-11-15 15:20:12,normal_traffic,unknown,313182.23,208018702336,232610275328,1325872128,3556418560,298766799453,0,0,898369783,7516,13083496448,16440401920,65918,355410366,2.19,2.29,2.27,11,5,1711,7008256,5,768,1362,5,15992,37317,5942,0,4224,1143,836,107,5614,417065,2544,0,87,0,72667566,0,80,14167721,0,6759,14077328,0
2024-11-15 15:20:13,normal_traffic,unknown,339823.24,223170910208,248547655680,1364930048,1397524480,62501436822,0,0,187837785,7384,13515509760,16440418304,36939,82331560,2.35,2.45,2.27,11,5,1031,4222976,5,256,1356,5,14416,801,115,0,127,1075,323,4,60,306391,66,0,6,0,67416089,0,4,13101922,0,1733,13058411,0
2024-11-15 15:20:13,normal_traffic,unknown,316421.8599999999,205938173952,230966169600,1496346112,3238413312,287398281108,0,0,876292114,6403,14092750848,16440193024,52476,340886555,2.34,2.47,2.33,11,6,1649,6754304,5,512,838,5,8672,1287,105,0,50,772,16784,4,252,233927,60,0,10,0,46367758,0,12,8998049,0,16759,8966061,0
2024-11-15 15:20:16,normal_traffic,unknown,313252.20999999996,208018702336,232610275328,1325872128,3556492288,298876143829,0,0,898698756,7516,13079339008,16440401920,65926,355533979,2.33,2.31,2.28,11,5,1711,7008256,5,768,1359,5,15992,37317,5944,0,4224,1146,836,107,5614,417827,2544,0,87,0,72785356,0,80,14190745,0,6775,14100164,0
2024-11-15 15:20:17,normal_traffic,unknown,339892.98000000004,223170910208,248547655680,1364930048,1397540864,62607023168,0,0,188155460,7384,13518110720,16440418304,36947,82453812,2.32,2.44,2.27,11,5,1031,4222976,5,256,1353,5,14416,801,115,0,127,1077,323,4,60,307130,66,0,6,0,67530271,0,4,13123780,0,1734,13080323,0
2024-11-15 15:20:17,normal_traffic,unknown,316491.25,205938169856,230966169600,1496346112,3238441984,287499540168,0,0,876616262,6403,14091567104,16440193024,52488,341012912,2.32,2.47,2.33,11,6,1649,6754304,5,512,838,5,8632,1287,105,0,50,774,16784,4,252,234979,60,0,10,0,46483462,0,12,9020712,0,16762,8988614,0
2024-11-15 15:20:20,normal_traffic,unknown,313322.02,208018698240,232610275328,1325872128,3556492288,298984863056,0,0,899025849,7516,13083873280,16440401920,65993,355658605,2.39,2.33,2.28,11,5,1967,8056832,5,768,1362,5,15992,37318,5944,0,4224,1150,836,107,5614,418636,2544,0,87,0,72902675,0,80,14213566,0,6785,14122846,0
2024-11-15 15:20:21,normal_traffic,unknown,339962.8400000001,223170910208,248547655680,1364930048,1397540864,62713069923,0,0,188474510,7384,13517209600,16440418304,36955,82577957,2.32,2.44,2.27,11,5,1287,5271552,5,256,1356,5,14416,801,115,0,127,1079,323,4,60,307618,66,0,6,0,67644778,0,4,13146123,0,1738,13102590,0
2024-11-15 15:20:21,normal_traffic,unknown,316560.96,205938169856,230966169600,1496346112,3238487040,287600591995,0,0,876939746,6403,14089580544,16440193024,52496,341135599,2.45,2.49,2.34,11,6,1393,5705728,5,512,836,5,8632,1367,107,0,55,776,16785,5,254,235403,60,0,12,0,46599254,0,13,9043509,0,16769,9011143,0
